,Q_M,Q_h,Q_s,Q_b,Q_f,num_chord,num_scale,num_diss,Comp_M,RR_I,RR_D,H_I_norm,H_D_norm,EMD_chord,EMD_scale,EMD_diss,num_unison,num_stepwise,num_conjunct,num_disjunct,P_total,P_max
0,0.4979862286897507,0.5471938775510203,0.2943379321747997,0.8006590080844812,0.3005464480874317,54,55,75,0.23979591836734693,0.1438179307031766,0.31601255886970175,0.3842112723227822,0.3878519806109908,0.09247600081439888,0.1969330463424873,0.3118522616533405,6,36,39,102,640,915
1,0.3865682957787817,0.5051020408163265,0.28861979763593104,0.41880020832097664,0.2152173913043478,25,26,42,0.19387755102040816,0.12255136168179646,0.3040185146223438,0.41831994844319,0.40433161241191684,0.5406276832221857,0.6171183602405029,0.5870827894064068,5,11,17,59,361,460
2,0.47203150952011397,0.5762411347517731,0.2973813802163423,0.673930261517045,0.23636363636363633,44,39,50,0.22695035460992907,0.12121212121212122,0.350354609929078,0.4024939211945734,0.38589589413600967,0.09387892018010031,0.6086858792027533,0.28268050146912815,4,16,26,86,504,660
3,0.5097774033680122,0.6057692307692308,0.2842184921583792,0.754499926156919,0.29863013698630136,29,19,26,0.15384615384615385,0.1491628614916286,0.304029304029304,0.40413590190119264,0.4099182395236167,0.11253222215593993,0.15659887184506957,0.47139845636723793,5,17,11,40,256,365
4,0.4406729990273055,0.48630136986301364,0.2678480923838475,0.7335023983207705,0.22941176470588232,15,22,32,0.06849315068493156,0.10272168568920105,0.339041095890411,0.4269153547492286,0.40206917490546523,0.06401274893497615,0.42117547829513363,0.3204404824361924,2,8,12,46,262,340
5,0.4511962861371645,0.5510204081632653,0.28174903691248315,0.6024241355863438,0.2697674418604651,25,24,38,0.1428571428571429,0.1362517099863201,0.3324216284451925,0.4001952713334219,0.3970194319403384,0.17705547116901368,0.4708653855897736,0.5514891726411096,4,10,22,50,314,430
6,0.4885595236570843,0.5839222614840989,0.30923061410052344,0.7041255230417951,0.2615969581749049,93,71,100,0.2968197879858657,0.12448843351812615,0.36551136506027115,0.38663114186196756,0.37270234207638675,0.18670445961174922,0.36237489071159334,0.34185226289510395,15,35,56,157,971,1315
7,0.4374906448308037,0.5702479338842975,0.2851447238410059,0.4865832747462523,0.27522935779816515,40,24,46,0.18181818181818177,0.1452599388379205,0.3090909090909091,0.39115784546781307,0.39839674399020497,0.4697650400914985,0.526420934936512,0.5453869790714829,10,17,24,58,395,545
8,0.49784502614023096,0.5746951219512195,0.2975578019922983,0.7507738168325611,0.2915032679738562,43,55,56,0.23780487804878048,0.141124871001032,0.3321113272482418,0.389473217803491,0.3872747158599461,0.0868021926342506,0.3363269856348277,0.3294713103403047,12,30,29,82,542,765
9,0.4696170696933434,0.4879807692307693,0.29454383288758557,0.772916764682359,0.3046632124352332,47,54,93,0.2451923076923077,0.13730569948186527,0.31819026384243776,0.3856232876498581,0.38640760577145894,0.13296417952891804,0.21378406455830837,0.33735355446535453,8,40,36,109,671,965
