,Q_M,Q_h,Q_s,Q_b,Q_f,num_chord,num_scale,num_diss,Comp_M,RR_I,RR_D,H_I_norm,H_D_norm,EMD_chord,EMD_scale,EMD_diss,num_unison,num_stepwise,num_conjunct,num_disjunct,P_total,P_max
0,0.5536990786990788,0.9636752136752137,0.3099523145432319,0.8701918316193248,0.1437229437229437,207,22,3,0.4572649572649573,0.03131940523244871,0.2586478852573273,0.40389985952080965,0.3986294654406165,0.054505679640855155,0.15677441190685523,0.18042630719249153,22,6,42,161,989,1155
1,0.5402319587628865,0.965,0.29502741093921314,0.797136651670208,0.11546391752577323,90,6,2,0.30000000000000004,0.025128865979381444,0.3056565656565657,0.44092318319061174,0.4034284398695066,0.1429131800543561,0.2931380527859949,0.17435548391494757,8,6,10,73,429,485
2,0.49836870446626547,0.8902439024390244,0.3223372792709904,0.8149428177219147,0.10649350649350653,107,40,8,0.41463414634146345,0.04643069348951702,0.3422115816250187,0.42332104317602104,0.38508893172293146,0.10891454261514855,0.35147138307700776,0.09709297385915816,28,5,20,101,688,770
3,0.5353076923076923,0.8846153846153846,0.34565499731936394,0.657333937390453,0.18600000000000005,65,32,4,0.45192307692307687,0.07373737373737374,0.4378267363704257,0.39125733338076574,0.3735304661851777,0.30361794841044487,0.4077213861193283,0.3178421294867191,23,6,23,48,407,500
4,0.45600106923282546,0.867816091954023,0.4212675643566709,0.6810791378905452,0.04418604651162794,47,38,2,0.5862068965517242,0.2456908344733242,0.5201817695803261,0.39234058436469876,0.3619177368132811,0.32249410293571673,0.4598047194526616,0.17435548391494757,42,1,5,38,411,430
5,0.543780193236715,0.9764492753623188,0.38433837792935244,0.6898143293121946,0.11111111111111116,126,9,1,0.5,0.08557213930348259,0.5803448640643182,0.4077203533346684,0.3480545329442929,0.19348362576479994,0.42276768241562457,0.3178421294867191,35,3,19,78,600,675
6,0.5201483494055819,0.9618794326241135,0.3706996147968765,0.729274647679236,0.07841726618705036,260,11,8,0.5709219858156028,0.10277121263278186,0.4202064561722319,0.39598179256780075,0.36361662679596507,0.3061820357963777,0.18707744672538884,0.3178421294867191,81,4,29,164,1281,1390
7,0.520520858451893,0.9655172413793104,0.36274186042709355,0.7515950371989092,0.0755244755244755,127,16,1,0.48275862068965514,0.09465182704619324,0.45957854406130266,0.41163115532204053,0.36508915501627615,0.17803383132675074,0.25147138611932823,0.3178421294867191,39,6,10,88,661,715
8,0.4352154540201787,0.8153973509933775,0.5534020195085034,0.6181277262940092,0.055033557046979875,85,211,3,0.7350993377483444,0.5142024269541048,0.866493586499747,0.335100012129703,0.3161147342106184,0.4297114551358406,0.39661356433087186,0.3178421294867191,213,5,20,60,1408,1490
9,0.4883896843194756,0.9450146627565983,0.5384468893246043,0.6111557764912368,0.03176470588235292,275,63,3,0.8093841642228738,0.4640465035571751,0.748352596170433,0.34527815333509015,0.3251730293374492,0.5273941663513577,0.4545137138659983,0.18042630719249153,229,6,10,95,1646,1700
10,0.47053265422696117,0.8341346153846154,0.4092073616970809,0.7273348551895631,0.10693069306930691,63,29,10,0.45192307692307687,0.1706930693069307,0.7038834951456311,0.38433655399228883,0.33520061311747673,0.11411854631102318,0.39083920101233827,0.3178421294867191,41,1,16,43,451,505
